type,title,reference,status,description,date_lodged,date_signed,eiar,nis,parties,Latitude,Longitude
Leave to Appeal S37(6),"Land at Orwell Mews, to the rear of  30 Orwell Road, Rathgar, Dublin 6, D06 HE30",319414,Invalid- no grounds S.127(1)(d),"Demolition of shed, division of site, construction of dwelling with all associated site works",28/03/2024,28/03/2024,No,No,"Daniel & Mary O'Dea
								(Applicant); Namrata Namrata and Stephen Beamish
															(Invalid)",,
Planning Appeal,"118 The Maples, Bird Avenue, Farranboley, Dublin 14, D14 F5C2",319424,Invalid,Demolition of an existing single storey within the site for the construction of a two-storey extension to the house...,02/04/2024,02/04/2024,No,No,"Lucia & Colm Smith
								(Applicant); Declan and Catherine Hughes
								(3rd Party Appellant)
															(Invalid)",53.30782475,-6.240741234477329
Appeal - LRD,"c. 0.77 ha site at the former G4S site, Herberton Road, Rialto, Dublin 12",319429,Appeal withdrawn S.140(1)(a),Large scale residential development: Construction of 120 apartments with all associated site works,02/04/2024,27/05/2024,No,No,"Herberton Road Development Limited
								(Applicant); 02/04/2024
								(Herberton Road Development Limited)",53.33620112884733,-6.299077895221969
Leave to Appeal S37(6),"Land at Orwell Mews, to the rear of  30 Orwell Road, Rathgar, Dublin 6, D06 HE30",319432,Application for leave to appeal refused,"Demolition of shed, division of site, construction of dwelling with all associated site works",02/04/2024,26/04/2024,No,No,"Daniel & Mary O'Dea
								(Applicant); Namrata Namrata and Stephen Beamish
															(Active)",,
Planning Appeal,"Kenilworth Bowling Club, Grosvenor Square, Rathmines, Dublin 6, D06 HP90",319437,Invalid- fee S.127(1)(f),Construction of 4 floodlights and all associated site works.,02/04/2024,02/04/2024,No,No,"Kenilworth Bowling Club CLG
								(Applicant); Kenilworth Bowling Club CLG
								(1st Party Appellant)
															(Invalid)",53.3240421,-6.274026541227075
Planning Appeal,"75-78 Cork Street, Dublin 8",319455,Invalid- no acknowledgement of local submission S.127(1)e,Modifications to a mixed-use development under Reg. Ref. 3619/18 (as extended by Reg. Ref. 3619/18/X1) Modification...,04/04/2024,04/04/2024,No,No,"Pennywood Limited
								(Applicant); Karen Devereux
								(3rd Party Appellant)
															(Invalid)",53.3365192,-6.2879694
Leave to Appeal S37(6),"Talbot House, Talbot Road, Killiney, Co. Dublin, A96 AK15",319467,Invalid- grounds S.37(6)(b),Permission is sought for single storey flat roof extension to the rear containing stair and single storey flat roof...,08/04/2024,08/04/2024,No,No,"Brian & Clodagh Kevans
								(Applicant); Patrica Randall O'Connell
								(3rd Party Appellant)
															(Invalid)",53.2642573,-6.115425919383619
Planning Appeal,"161 Cooley Road, Drimnagh, Dublin 12",319476,Invalid- fee S.127(1)(f),Retention for the existing vehicular access and to reinstate part of the boundary wall to form a smaller vehicular ...,09/04/2024,09/04/2024,No,No,"Kilian Tennyson
								(Applicant); Kilian Tennyson
								(1st Party Appellant)
															(Invalid)",53.330848669793774,-6.3254840178337775
Planning Appeal,"29 Trees Road, Mount Merrion, Blackrock, Co. Dublin, A94 P2C6",319490,Appeal withdrawn,Demolition of 2 storey extension and garage for the construction of new extension comprising of works to include up...,10/04/2024,15/05/2024,No,No,"Darragh Kelly and Cliona Caslin
								(Applicant); Darragh Kelly and Cliona Caslin
								(1st Party Appellant)
															(Withdrawn)",53.29339935,-6.208428662363014
Planning Appeal,"796-798 Howth Road, Dublin 5, D05 HK76 & D05 RT99",319512,Invalid- fee S.127(1)(f),Demolition of 2 houses and associated outbuildings for the construction of a new residential development in 2 block...,15/04/2024,15/04/2024,No,Yes,"October Two Limited
								(Applicant); October Two Limited
								(1st Party Appellant)
															(Invalid)",53.3771189,-6.1879212
Planning Appeal,"14 Mourne Close, Skerries, Co. Dublin",319517,Invalid,"Planning permission is sought for attic conversion with dormer projecting window to rear, 1 new Velux window to fro...",10/04/2024,10/04/2024,No,No,"Lorraine Mooney
								(Applicant); Lorraine Mooney
								(1st Party Appellant)
															(Invalid)",53.5800047,-6.1277269
Planning Appeal,"Avondale, Seamount Road, Malahide, Co. Dublin",319524,Invalid 3RD party- no submission made to planning authority.,"Demolition of existing detached dwelling and construction of 4 dwellings, together with all associated site works.",17/04/2024,17/04/2024,No,No,"Calabash Investments Ltd.
								(Applicant); Barry O'Connor
								(3rd Party Appellant)
															(Invalid)",53.353375099999994,-6.257307389618797
Planning Appeal,"13 Capel Street, Dublin 1.",319598,Invalid,PROTECTED STRUCTURE: Conversion of four bedroom dwelling into 3 no. one bedroom apartments (with an apartment at fi...,24/04/2024,24/04/2024,No,No,"Copa Property Holdings Ltd
								(Applicant); Romano Morelli
								(3rd Party Appellant)
															(Invalid)",53.346863150000004,-6.268020070806213
Planning Appeal,"42 Charlemont Street, Dublin 2",319634,Invalid- fee S.127(1)(f),"Retention of parapets, wall sign, flagpoles, mural and all associated site works.",26/04/2024,26/04/2024,No,No,"East Coast Inns
								(Applicant); East Coast Inns
								(1st Party Appellant)
															(Invalid)",53.33261222097037,-6.2630972426819485
Planning Appeal,"The Swan Bar,  corner of Aungier Street and 57/58 York Street, Dublin 2, D02 RW67",319643,Invalid- late S.127(1)(g),PROTECTED STRUCTURE: PERMISSION & RETENTION: For retention of the existing landing area and permission for an exten...,02/05/2024,02/05/2024,No,No,"The Swan Bar
								(Applicant); The Swan Bar
								(1st Party Appellant)
															(Invalid)",53.33962475,-6.265546339405763
Planning Appeal,"7 Sydney Terrace, Blackrock, Co. Dublin, A94 R2H4",319772,Invalid- no acknowledgement of local submission S.127(1)e,Demolition of the existing rear extension and sheds for the construction of a new partial two storey extension and ...,20/05/2024,20/05/2024,No,No,"Tess O'Leary & Ian Richardson
								(Applicant); Shannon O'Dowd and Andrew Haydon
								(3rd Party Appellant)
															(Invalid)",53.297853399380635,-6.184110324062901
Pre-Application Consultation Request,"In townlands between Shanganagh and Carrickmines, Co. Dublin.",320937,Invalid- late S.127(1)(g),Refurbishment and extension of building to construct 3 apartments with all associated works.,30/09/2024,01/10/2024,No,No,"Bray Offshore Wind Ltd and Kish Offshore Wind Ltd
								(Applicant); Bray Offshore Wind Ltd and Kish Offshore Wind Ltd
								(Applicant)
															(Active)",,
Pre-Application Consultation Request,"In townlands between Shanganagh and Carrickmines, Co. Dublin.",308178,Withdrawn,Dublin Array proposed electricity development onshore (associated with an offshore wind farm with an estimated capa...,11/09/2020,19/08/2024,No,No,"Bray Offshore Wind Ltd and Kish Offshore Wind Ltd
								(Applicant); Bray Offshore Wind Ltd and Kish Offshore Wind Ltd
								(Applicant)
															(Active)",,
Pre-Application Consultation Request,"Onshore at Belcamp, Co. Dublin and offshore along the coast of counties Dublin, Meath and Louth...",310329,Withdrawn,North Irish Sea Array Offshore Wind Farm - Proposed onshore electrical infrastructure and the associated other infr...,26/05/2021,11/06/2024,No,No,"North Irish Sea Array Windfarm Ltd
								(Applicant); North Irish Sea Array Windfarm Ltd
								(Applicant)
															(Active)",,
Strategic Housing Development - Application,"Lands at the former Ted Castles site and Dun Leary House (a proposed protected structure) , Old...",312070,Refuse Perm.,"Demolition of shed, construction of 146 no. Build to Rent apartments and associated site works.",26/11/2021,07/08/2024,No,No,"Ted Living Limited
								(Applicant); Ted Living Limited
															(Invalid); Paul and Sally Ann Sherry and others; Ted Living Limited
								(Applicant)
															(Invalid); ~An Taisce; Dept of Housing Local Government and Heritage",,
Strategic Housing Development - Application,"No. 146A and 148-148A Richmond Road, Dublin 3. (www.richmondroadshd.ie)",312352,Refuse Perm.,"Demolition of existing buildings, construction of 183 no. Build to Rent apartments, and associated site works.",23/12/2021,17/07/2024,No,No,"Birkey Limited
								(Applicant); Birkey Limited
								(Applicant)
															(Invalid); Birkey Limited
								(Applicant)
															(Active)",,
Planning Appeal,"36-41 Henry Street, 1-9 Moore Street, 3-13 Henry Place, Charles Court & Mulligan Lane, Dublin 1",312603,Grant permission with revised conditions,"PROTECTED STRUCTURE: Hotel, 1 restaurant/café with takeaway facility, retail units: shop/café with takeaway, retail...",28/01/2022,16/09/2024,Yes,No,"Dublin Central GP Ltd
								(Applicant); Peter Hickey and others
								(3rd Party Appellant)
															(Active); Amanda Higgins & Others
								(3rd Party Appellant)
															(Active); Patrick Cooney on behalf of Save 16 Moore Street Committee
								(3rd Party Appellant); Patrick Cooney on behalf of Save 16 Moore Street Committee
								(3rd Party Appellant)
															(Invalid); Míchéal MacDonncha
								(3rd Party Appellant)
															(Active); Dublin One Business Alliance
								(3rd Party Appellant)
															(Active); Patrick Cooney on behalf of Save 16 Moore Street Committee
								(3rd Party Appellant)
															(Active); Moore Street Preservation Trust
								(3rd Party Appellant)
															(Active); Diarmuid Breatnach
								(3rd Party Appellant)
															(Active); Troys Family Butchers Limited
								(3rd Party Appellant); Troys Family Butchers Limited
								(3rd Party Appellant)
															(Active); Colm O'Murchu
								(3rd Party Appellant)
															(Active); Dublin Central GP Limited
								(1st Party Appellant)
															(Active); Mary Lou McDonald
								(3rd Party Appellant)
															(Active); Mary Lou McDonald
								(3rd Party Appellant); Moore Street Traders Committee
								(3rd Party Appellant)
															(Active); Dublin Central GP Ltd
								(1st Party Appellant)
															(Active)",53.34946876074685,-6.2624080016845864
Planning Appeal,"10-13 & 18-21 Moore Street, 5A Moore Lane & 6-7 & 10-12 Moore Lane & 17-18 Henry Place, Dublin ...",312642,Grant permission with revised conditions,"Protected Structure: Permission for 7 years to include: 15 apartments, cafe/restaurant with takeaway facility, cult...",04/02/2022,16/09/2024,Yes,No,"Dublin Central GP Ltd
								(Applicant); Amanda Higgins & Others
								(3rd Party Appellant)
															(Active); Ray Bateson
								(3rd Party Appellant)
															(Active); Ray Bateson
								(3rd Party Appellant); The Moore Street Preservation Trust
								(3rd Party Appellant)
															(Active); The Moore Street Preservation Trust
								(3rd Party Appellant); Dublin One Business Alliance
								(3rd Party Appellant)
															(Active); Patrick Cooney on behalf of Save 16 Moore Street Committee
								(3rd Party Appellant); Patrick Cooney on behalf of Save 16 Moore Street Committee
								(3rd Party Appellant)
															(Invalid); Míchéal McDonncha & Others
								(3rd Party Appellant)
															(Active); Sinn Féin Group Dublin City Council
								(3rd Party Appellant); Mary Lou McDonald
								(3rd Party Appellant); Mary Lou McDonald
								(3rd Party Appellant)
															(Active); Colm Murchu
								(3rd Party Appellant)
															(Active); Dublin Central GP Limited
								(1st Party Appellant)
															(Active); Dublin Central GP Limited
								(1st Party Appellant); Patrick Cooney on behalf of Save 16 Moore Street Committee
								(3rd Party Appellant); Patrick Cooney on behalf of Save 16 Moore Street Committee
								(3rd Party Appellant)
															(Active); Troys Family Butchers Limited
								(3rd Party Appellant)
															(Active); Moore Street Preservation Trust
								(3rd Party Appellant); Moore Street Traders Committee
								(3rd Party Appellant)
															(Active); Dublin Central GP Ltd
								(1st Party Appellant)
															(Active); Dublin Central GP Ltd
								(1st Party Appellant)",,
Strategic Housing Development - Application,"Sommerville House, Dundrum Road, Dublin 14.
(www.sommervilleshd.ie)",312935,Refuse Perm.,"Demolition of all structures, construction of 111 no. apartments and associated site works.",07/03/2022,26/08/2024,No,Yes,"Eircom Limited (Eir)
								(Applicant); Eircom Limited (Eir)
															(Active); Eircom Limited (Eir)
								(Applicant)
															(Active)",53.3104762,-6.247721
Strategic Housing Development - Application,"IVM House, 31 Ravens Rock Road and 31a Ravens Rock Road, Sandyford Business Park, Dublin 18. (w...",313209,Refuse Perm.,"Demolition of existing building and hard surface parking area, construction of 101 no. Build to Rent apartments and...",04/04/2022,10/09/2024,No,No,"Ravensbrook Limited
								(Applicant); Ravensbrook Limited
															(Active); Ravensbrook Limited
								(Applicant)
															(Active)",,
Strategic Housing Development - Application,"Chesterfield, Cross Avenue, Blackrock, Co. Dublin. (www.chesterfieldplanning2.com)",313252,Grant Part Dev. w cons,"Demolition of the non-original fabric of Chesterfield House and sheds, construction of 366 no. residential units (8...",07/04/2022,12/09/2024,No,Yes,"Cairn Homes Properties Limited
								(Applicant); Cairn Homes Properties Limited
															(Active); Cairn Homes Properties Limited
								(Applicant)
															(Active)",53.34943983473998,-6.299727132867173
Strategic Housing Development - Application,"White Heather Industrial Estate, South Circular Road and  307/307a South Circular Road and 12a ...",313278,Refuse Perm.,"Demolition of existing buildings on site except 307/307a South Circular Road, construction of 335 no. residential u...",11/04/2022,16/09/2024,No,No,"U and I (White Heather) Limited
								(Applicant); U and I (White Heather) Limited
															(Active); U and I (White Heather) Limited
								(Applicant)
															(Active)",53.33214865,-6.290560080635926
Strategic Housing Development - Application,"""Barrington Tower"", Brennanstown Road, Dublin 18. (www.barringtontowershd.com)",313281,Refuse Perm.,"Demolition of 'Winterbrook', and the former dwelling attached to Barrington Tower (a protected structure), construc...",12/04/2022,12/09/2024,Yes,Yes,"Cairn Homes Properties Limited
								(Applicant); Cairn Homes Properties Limited
															(Active); Cairn Homes Properties Limited
								(Applicant)
															(Active)",53.2546666,-6.162662356700287
Strategic Housing Development - Application,"Blackglen Road, Balally and Woodside, Sandyford, Dublin 18. (www.blackglenroadshd.com)",313321,Grant Perm. w   Conditions,"Demolition of the existing structures on site, construction of 101 no. residential units (32 no. houses, 69 no. apa...",13/04/2022,23/08/2024,No,No,"Heronbrook Properties Limited
								(Applicant); Heronbrook Properties Limited
															(Invalid); Heronbrook Properties Limited
								(Applicant)
															(Active)",53.26525620340006,-6.229609495104414
Strategic Housing Development - Application,"Estuary West Lands at Holybanks, Swords, Co. Dublin. (www.holybanksshdplanning.com)",313337,Application withdrawn (applicant),"7 year permission for the construction of 621 no. residential units (118 no. houses, 503 no. apartments), creche an...",14/04/2022,25/09/2024,Yes,Yes,"Cairn Homes Properties Limited
								(Applicant); Cairn Homes Properties Limited
															(Active)",,
Strategic Housing Development - Application,"Junction of Ravens Rock Road and Carmanhall Road, Sandyford, Dublin 18. (www.tacksandyfordshd.i...",313338,Refuse Perm.,"Demolition of structures on site, construction of 207 no. Build to Rent apartments, creche and associated site work...",14/04/2022,02/09/2024,Yes,No,"Sandyford Environmental Construction Limited
								(Applicant); Sandyford Environmental Construction Limited
															(Active); Sandyford Environmental Construction Limited
								(Applicant)
															(Active)",,
Strategic Housing Development - Application,"Lands at Auburn House (Protected Structure), Little Auburn and Streamstown, Off Malahide Road a...",313360,Application withdrawn (applicant),"Preservation of Auburn House (a Protected Structure) and stables as 1 no. residential dwelling, conversion of stabl...",19/04/2022,09/08/2024,Yes,Yes,"Kinwest Limited
								(Applicant); Kinwest Limited
								(Applicant)
															(Active)",,
Strategic Housing Development - Application,"Lands at Back Road and Kinsealy Lane, Kinsaley, Broomfield, Malahide, Co. Dublin. (www.broomfie...",313361,Split decision,"Demolition of buildings, construction of 415 no. residential units (252 no houses, 163 no. apartments) creche and a...",19/04/2022,04/07/2024,Yes,Yes,"Birchwell Developments Limited
								(Applicant); Birchwell Developments Limited
								(Applicant)
															(Active); Department of Housing, Local Government and Heritage; Irish Water",,
Planning Appeal,"Liberty Market, 71 Meath Street, Dublin 8, D08 A526",313546,Grant permission with revised conditions,Demolition of building and construction of a mixed use development including 3 residential blocks with 20 apartment...,10/05/2022,17/07/2024,No,No,"Michael Fitzgerald
								(Applicant); Peter Mac Mahon
								(3rd Party Appellant)
															(Active)",53.3422289,-6.2791189
LA Road Dev - Application,Blanchardstown to Dublin City Centre,313892,Approve with Conditions,Bus Connects Blanchardstown to City Centre Core Bus Corridor Scheme,24/06/2022,21/06/2024,Yes,Yes,"National Transport Authority
								(Applicant); National Transport Authority
								(Applicant)
															(Active)",,
Planning Appeal,"Holmpatrick, Rush Road, Skerries, Co. Dublin",313944,Refuse Permission,Construction of 18 dwellings and all associated site works. Natura Impact Statement (NIS) included with application...,29/06/2022,01/08/2024,No,Yes,"Jolview Limited
								(Applicant); Jolview Limited
								(1st Party Appellant)
															(Active)",53.56573795,-6.100688935358974
Planning Appeal,"22-25 Moore Street, 13 Moore Lane, 14-15 Moore Lane, Dublin 1.",313947,Grant permission with revised conditions,PROTECTED STRUCTURE: Permission for a period of 15 years at a site. The proposed development comprises a mixed-use ...,29/06/2022,16/09/2024,Yes,No,"Dublin Central GP Ltd
								(Applicant); Troy's Family Butchers Limited
								(3rd Party Appellant)
															(Active); The 1916 Relatives Moore Street Initiative
								(3rd Party Appellant)
															(Active); Mary Lou McDonald
								(3rd Party Appellant)
															(Active); Relatives of The Signatories of The 1916 Proclama
								(3rd Party Appellant)
															(Invalid); Diarmuid Breatnach
								(3rd Party Appellant)
															(Active); Relatives of The Signatories of The 1916 Proclama
								(3rd Party Appellant)
															(Active); Colm O'Murchu
								(3rd Party Appellant)
															(Active); Moore Street Preservation Trust
								(3rd Party Appellant)
															(Active); Sinn Féin Group
								(3rd Party Appellant)
															(Active); Moore Street Traders Committee
								(3rd Party Appellant)
															(Active); Dublin Central GP Limited; Dublin One Business Alliance
								(3rd Party Appellant)
															(Invalid)",53.351146319486084,-6.263424618808912
Local Authority Road CPO - Application,Blanchardstown to Dublin City Centre,313961,Confirm CPO without modifications,Compulsory Purchase Order 2022 for Bus Connects Blanchardstown to City Centre Core Bus Corridor Scheme,01/07/2022,21/06/2024,No,No,"National Transport Authority
								(Applicant); National Transport Authority
								(Applicant)
															(Active)",,
Planning Appeal,"Former Scruffy Murphy's Public House, 1/2 Power's Court, Dublin 2, D02 EK50",314226,Grant permission with revised conditions,Construction of 15 units at Former Scruffy Murphy's Public House and associated site works.,29/07/2022,10/07/2024,No,No,"Hibernia REIT plc
								(Applicant); Alan Corrigan
								(3rd Party Appellant)
															(Active); Residents of Verschoyle Court
								(3rd Party Appellant)
															(Active)",53.337429626757626,-6.242368416319614
Railway Order Application,"County Dublin, County Meath, County Kildare",314232,Make Railway Order w   cons,DART+ West Railway Order - Dublin City to Maynooth and M3 Parkway,29/07/2022,18/07/2024,Yes,Yes,"Córas Iompair Éireann
								(Applicant); Córas Iompair Éireann
															(Active)",,
Planning Appeal,"Land located at intersection of Main Street & Parnell's GAA Club access road, Coolock, Dublin 5...",314313,Grant permission with revised conditions,"Construction of a 5-storey mixed-use building 15 no. apartments, commercial units,  bicycle parking, refuse storage...",09/08/2022,01/07/2024,No,No,"KTPCC Development Company Limited
								(Applicant); KTPCC Development Company Limited
								(1st Party Appellant)
															(Active); Coolock Residents Association C/O John Daly
								(1st Party Appellant)
															(Active); Coolock Residents Association
								(3rd Party Appellant)
															(Active)",,
Referral,"Springhill, Ballyedmonduff Road, Sandyford, Dublin 18",314397,Is development and is not exempted development,Is the placement of a 23.4m2 shed for agriculture use only is or is not development or is or is not exempted develo...,19/08/2022,06/08/2024,No,No,"Colm Ryan
								(1st party Referrer); Colm Ryan
								(1st party Referrer)
															(Active)",53.27443515,-6.119330399999999
Planning Appeal,"Howth Fishery Harbour Centre, Howth, Co. Dublin",314487,Grant permission with revised conditions,"Dredging of harbour, reclamation of land, landscape reclaimed land, construction of slipway and construction of emb...",30/08/2022,30/07/2024,Yes,Yes,"Minister for Agriculture, Food and the Marine
								(Applicant); Michael O'Neill
								(3rd Party Appellant)
															(Active); Michael A. O'Neill
								(3rd Party Appellant)
															(Active)",,
Planning Appeal,"Strand Road & Station Road, Maynetown & Burrow (townlands), Portmarnock, Co. Dublin",314663,Grant permission with revised conditions,New wastewater pumping station and modification of Portmarnock Bridge pumping station,21/09/2022,27/06/2024,No,Yes,"Irish Water
								(Applicant); Sabrina Joyce- Kemper and Catherine McMahon
								(3rd Party Appellant)
															(Active); Station Road Apartments CLG
								(3rd Party Appellant)
															(Invalid); Sabrina Joyce-Kemper and Catherine McMahon
								(3rd Party Appellant)
															(Active)",,
Strategic Housing Development - Application,"Former Bray Golf Club Lands, Off Ravenswell Road and Dublin Road, Bray, Co. Dublin and Co. Wick...",314686,Grant Perm. w   Conditions,"Change of use from former golf course, construction of 586 no. residential units (76 no. houses, 348 no. apartments...",26/09/2022,19/08/2024,Yes,Yes,"Shankill Property Investments Limited
								(Applicant); Shankill Property Investments Limited
															(Active); Rachel Gibney; Irish Water",,
LA Road Dev - Application,Lucan to Dublin City Centre,314942,Approve with Conditions,BusConnects Lucan to City Centre Core Bus Corridor Scheme,21/10/2022,29/08/2024,Yes,Yes,"~National Transport Authority
								(Applicant); ~National Transport Authority
															(Active)",,
Local Authority Road CPO - Application,"Lucan to City Centre, County Dublin",314988,Confirm CPO with modifications,Lucan to City Centre Core Bus Corridor Scheme Compulsory Purchase Order 2022,28/10/2022,29/08/2024,No,No,"National Transport Authority
								(Applicant); National Transport Authority
															(Active)",,
Private Development - Application,"at Unit 1, Cappogue Industrial Park, Ballycoolin Road, Cappogue, Dublin 11, and lands to the so...",315257,Grant Perm. w   Conditions,"Proposed expansion of Materials Recovery Facility to process up to 300,000 tonnes per annum",02/12/2022,06/08/2024,Yes,No,"Padraig Thornton Waste Disposal Ltd.
								(Applicant); Padraig Thornton Waste Disposal Ltd.
															(Active); Padraig Thornton Waste Disposal Ltd.
								(Applicant)
															(Active)",,
Planning Appeal,Junction of R132 and Old Turvey Avenue and including works to the T junction to the east of the...,315260,Refuse Permission,Scaffolding storage and distribution yard. Natura Impact Statement (NIS) lodged with application.,05/12/2022,23/07/2024,No,Yes,"Scafftex Ltd.
								(Applicant); Scafftex Limited
								(1st Party Appellant)
															(Active)",,
Compulsory Acquisition Housing Act,"11-14 Exchange Street Lower & 11 Essex Street West Area, Dublin City",315277,Confirm CPO without modifications,11-14 Exchange Street Lower & 11 Essex Street West Area Compulsory Purchase (Residential/Commercial Development) Or...,06/12/2022,12/09/2024,No,No,"Dublin City Council
								(Applicant); Dublin City Council
								(Planning Authority)
															(Active)",,
Referral,"The Bernard Shaw, Whitworth Road, D09 XW44.",315281,Is development and is not exempted development,Whether the installation of various listed outdoor street furniture items is or is not development and is or is not...,06/12/2022,13/09/2024,No,No,"Liacondar Limited
								(1st party Referrer); Liacondar Limited
								(1st party Referrer)
															(Active)",53.33173875,-6.264449185287027
Planning Appeal,"Site of Canal House and Construction House, Canal Road, Dublin 6",315292,Grant permission with revised conditions,"Demolition of buildings, construction of office buildings and all associated site works. Natura Impact Statement (N...",08/12/2022,03/09/2024,No,Yes,"Rimor Fortris Limited
								(Applicant); Manus McClafferty
								(3rd Party Appellant)
															(Active); Joseph Kearney
								(3rd Party Appellant)
															(Active)",53.33029405469043,-6.26020730042761
Planning Appeal,"Site (0.45 ha) at lands known as Bright Ford Rialto, Herberton Road, Dublin 12, D12 HT99",315314,Grant permission with revised conditions,"Demolition of buildings on site (1,316 sq. m. gross floor area) and the construction of a mixed use retail/commerci...",12/12/2022,18/07/2024,No,No,"Lidl Ireland GmbH
								(Applicant); Lidl Ireland GmbH
								(1st Party Appellant)
															(Active); Residents of Herberton Road
								(3rd Party Appellant)
															(Active)",53.330616,-6.2980817
Planning Appeal,"Mespil Court, Mespil Road & Burlington Road, Dublin 4, D04 E516",315421,Refuse Permission,"Construction of extension, 4 storey building mixed use development with 3 apartments with all associated site works",22/12/2022,31/07/2024,No,No,"Esprit Investments Limited
								(Applicant); Frank Buckley
								(3rd Party Appellant)
															(Active)",53.332231699999994,-6.248265052432512
Planning Appeal,"76, 76G & 280 Bannow Road, Cabra, Dublin 7.",315459,Grant permission with revised conditions,"Modifications to previously granted planning permission. Modifications to internal layout, elevations and roof leve...",04/01/2023,02/08/2024,No,No,"Colin Daly, Nicola Daly & Andrew Haydon
								(Applicant); Serena Quinn and Stephen Hassett
								(3rd Party Appellant)
															(Active); Colin Daly, Nicola Daly & Andrew Haydon
								(1st Party Appellant)
															(Active); Henry O'Brien and others
								(3rd Party Appellant)
															(Invalid)",53.3455374,-6.2757492
Planning Appeal,"Clonlea, Glencairn, Murphystown Way, Sandyford, Dublin 18, D18 VT14",315595,Refuse Permission,Development of a residential development comprising 42 no. apartments and all associated site works (located west o...,19/01/2023,12/09/2024,No,No,"Delaney Property Trading Partnership
								(Applicant); Delaney Property Trading Partnership
								(1st Party Appellant)
															(Active)",53.275460949999996,-6.245447672025897
Planning Appeal,"Site at the junction of Forster Way and Chapel Lane, including the Swords Day Centre for Senior...",315602,Grant Permissions with Conditions,A mixed-use development that will consist of the demolition of the Swords Day Centre for Senior Citizens and the de...,19/01/2023,16/07/2024,No,No,"Brookclam Land Limited
								(Applicant); Brookclam Land Limited
								(1st Party Appellant)
															(Active)",,
Marine Development - Consultation,"Located approximately 10km off the coast of counties Dublin and Wicklow, at the Kish and Bray b...",315800,Consultations Closed,Proposed Dublin Array offshore wind farm,10/02/2023,17/06/2024,No,No,"RWE Renewables Ireland Limited
															(Active)",,
Planning Appeal,"'Former Des Kelly Site', a site of 0.262 Ha. bounded by 364-374 North Circular Road, Royal Cana...",315984,Grant permission with conditions,"Construction of 80 apartments, 2 retail units, a coffee shop and all associated site works and services. Demolition...",07/03/2023,29/07/2024,No,No,"Garvagh Homes Ltd.
								(Applicant); Jimmy Wiley
								(3rd Party Appellant)
															(Active); Garvagh Homes Limited
								(1st Party Appellant)
															(Active); Jimmy Wiley
								(3rd Party Appellant)
															(Withdrawn)",,
Private Development - Application,"Cappagh Road, Dublin 11",316027,Grant Perm. w   Conditions,"Proposed increase of waste intake from 270,000 to 450,000 tonnes per year and associated works at an existing waste...",10/03/2023,22/08/2024,Yes,No,"Starrus Eco Holdings Ltd.
								(Applicant); Starrus Eco Holdings Ltd.
															(Active); Fingal County Council
								(Planning Authority)",53.39102432360764,-6.319535549197995
Building Control - Fire Safety Certificate,"Brickfield Square, Brickfield Drive, Crumlin, Dublin 12",316063,Allow appeal delete conditions,Fire Safety Certificate: Construction of a residential and mixed use development consisting of 186 apartments.,15/03/2023,26/07/2024,No,No,"Durkan [Brickfield Drive] Limited
								(Applicant); Durkan [Brickfield Drive] Limited
															(Active)",53.330312,-6.3047269770684515
Planning Appeal,"The Finches Public House, Finches Shopping Centre, Neilstown Road, Clondalkin, Dublin 22, D22 H...",316076,Grant permission with revised conditions,Mixed development consisting of 1 public house and 26 apartments.,16/03/2023,07/08/2024,No,No,"Old Nangor Road Ltd.
								(Applicant); Brendan Farrelly
								(3rd Party Appellant)
															(Active); Andalusian Properties Limited
								(3rd Party Appellant)
															(Active); Dean Graham
								(3rd Party Appellant)
															(Active); Aisling Grendon
								(3rd Party Appellant)
															(Active)",53.339355733683064,-6.3999214703468095
Referral,"""The Puffin"", North Beach, Rush, Co. Dublin",316086,Is development and is not exempted development,"Whether the works of partial repair, renewal, restructuring and replacement of the vandalised burnt out timber dwel...",20/03/2023,16/07/2024,No,No,"Colin Brady
								(1st party Referrer); Colin Brady
								(1st party Referrer)
															(Active)",,
Planning Appeal,"Danell House, Main Street, Blanchardstown, Dublin 15.",316090,Grant permission with revised conditions,"Demolition of dwelling and shed. Construction of 6 houses, relocated road entrance, boundary walls and all associat...",20/03/2023,12/06/2024,No,No,"Patricia Monahan
								(Applicant); Helen Horgan
								(3rd Party Appellant)
															(Active)",53.3876281,-6.379795803701759
Planning Appeal,"Howth Castle, Howth Road, Howth, Co. Dublin, D13 EH73",316113,Grant permission with conditions,Protected Structures (Ref: 0556 and 0557): change of use of from residential use to hospitality and tourist retail ...,22/03/2023,16/09/2024,No,Yes,"WSHI Ltd. & The Michael J Wright Group
								(Applicant); WSHI Ltd. & The Michael J Wright Group
								(1st Party Appellant)
															(Active)",53.3862576,-6.079632432847534
Planning Appeal,"Loughshinny Park, Loughshinny, Skerries, Co. Dublin.",316114,Grant Permissions with Conditions,"Construction of 17 houses, entrance from Loughshinny Park Road, open space and associated site works.",22/03/2023,15/07/2024,No,No,"Derek Jones
								(Applicant); Derek Jones
								(1st Party Appellant)
															(Active)",53.54719994784173,-6.090079284135982
